school,total_posts,no_news_posts_in_period,avg_views_all_days,avg_views_on_post_days,avg_views_within_1_day,avg_views_within_3_days,avg_views_within_7_days,avg_views_no_recent_post,view_lift_on_post_days_pct,view_lift_within_1_day_pct,view_lift_within_3_days_pct,view_lift_within_7_days_pct,month
CHHS,1,False,31.75,21.0,18.5,21.25,24.5,32.16,-34.71,-42.48,-33.93,-23.83,2026-01-01_to_2026-05-30
CIFEC,1,False,15.13,26.0,14.5,14.5,14.5,15.14,71.75,-4.21,-4.21,-4.21,2026-01-01_to_2026-05-30
EEPS,1,False,7.02,3.0,3.0,2.0,2.33,7.23,-58.49,-58.49,-72.33,-67.72,2026-01-01_to_2026-05-30
EMPS,1,False,5.39,6.0,6.0,3.0,4.57,5.43,10.48,10.48,-44.76,-15.82,2026-01-01_to_2026-05-30
JACPS,1,False,10.43,2.0,2.0,5.5,9.71,10.47,-80.89,-80.89,-47.46,-7.2,2026-01-01_to_2026-05-30
JCPS,1,False,9.19,9.0,5.5,4.67,12.29,9.03,-0.33,-39.09,-48.32,36.06,2026-01-01_to_2026-05-30
JGHS,1,False,46.31,12.0,12.0,12.0,12.0,46.54,-74.22,-74.22,-74.22,-74.22,2026-01-01_to_2026-05-30
LHSS,1,False,11.95,9.0,6.5,6.5,6.5,12.02,-25.13,-45.93,-45.93,-45.93,2026-01-01_to_2026-05-30
LSHS,0,True,5.0,,,,,5.0,,,,,2026-01-01_to_2026-05-30
MMPS,0,True,11.68,,,,,11.68,,,,,2026-01-01_to_2026-05-30
PPPS,0,True,8.9,,,,,8.9,,,,,2026-01-01_to_2026-05-30
RBPS,1,False,23.13,18.0,16.0,13.25,12.62,23.73,-24.14,-32.57,-44.16,-46.79,2026-01-01_to_2026-05-30
SBPS,1,False,4.55,4.0,3.0,3.0,3.0,4.57,-12.52,-34.39,-34.39,-34.39,2026-01-01_to_2026-05-30
TMPS,1,False,7.01,13.0,7.0,6.25,7.0,7.02,85.3,-0.22,-10.91,-0.22,2026-01-01_to_2026-05-30
WEPS,1,False,14.94,4.0,2.5,2.5,2.5,15.11,-73.53,-83.46,-83.46,-83.46,2026-01-01_to_2026-05-30
